POI,CSA,Optus CVC,NBN CVC,OON,ORD VNNI,ORD CVC,NNI Link ID,V-NNI ID,V Link Circuit ID,S-TAG Ranges,Bandwidth (Mbps)
"3CTA - CHELTENHAM, VIC",CSA300000000180,CVC000000602165,CVC000000752300,2214902,ORD010110934818,ORD010113648149,NNL000000059788,NNI000000491234,VLK00000499,71-90,300
"3MTE - MOUNT ELIZA, VIC",CSA300000010602,CVC000000600073,CVC000000752316,2214903,ORD010110971597,ORD010113648385,NNL000000059918,NNI000000491397,VLK00000504,71-90,200
"3KAL - KARINGAL, VIC",CSA300000000445,CVC000000601365,CVC000000752328,2214904,ORD010110934498,ORD010113648476,NNL000000059774,NNI000000491193,VLK00000495,91-110,400
"3STK - ST KILDA, VIC",CSA300000000823,CVC000000603586,CVC000000752337,2214905,ORD010110972641,ORD010113650999,NNL000000059939,NNI000000491402,VLK00000518,71-90,300
"3NBA - NORTH BALWYN, VIC",CSA300000000652,CVC000000599783,CVC000000752344,2214906,ORD010110934958,ORD010113651088,NNL000000059790,NNI000000491247,VLK00000500,91-110,300
"5ADA - LONSDALE DEPOT, SA",CSA500000011058,CVC000000599875,CVC000000752359,2214907,ORD010110972706,ORD010113651137,NNL000000059960,NNI000000491418,VLK00000505,71-90,200
"7LAU - LAUNCESTON, TAS",CSA700000000822,CVC000000600767,CVC000000752363,2214908,ORD010110976712,ORD010113651192,NNL000000060616,NNI000000491516,VLK00000573,71-90,200
"3KEY - KEYSBOROUGH, VIC",CSA300000000460,CVC000000599852,CVC000000752392,2214909,ORD010113699878,ORD010113700722,NNL000000060093,NNI000000493283,VLK00000513,71-90,200
"3LIL - LILYDALE, VIC",CSA300000000505,CVC000000602098,CVC000000752257,2229433,ORD010113646508,ORD010113646667,NNL000000061733,NNI000000493220,VLK00000577,91-110,200
"3SMR - SOUTH MORANG, VIC",CSA300000000809,CVC000000599913,CVC000000752407,2214911,ORD010110974104,ORD010113701163,NNL000000059973,NNI000000491441,VLK00000519,71-90,500
"3HRS - HORSHAM, VIC",CSA300000000412,CVC000000601781,CVC000000752411,2214913,ORD010110973031,ORD010113701280,NNL000000059941,NNI000000491425,VLK00000506,71-90,200
"7HOB - HOBART, TAS",CSA700000000406,CVC000000599834,CVC000000752424,2214914,ORD010110934609,ORD010113701401,NNL000000060518,NNI000000491223,VLK00000572,71-90,200
